City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
333,williams lake,52.1415,-122.1445,17.76,86,40,2.06,CA,1693381855
334,vanimo,-2.6741,141.3028,27.83,80,21,3.21,PG,1693381856
335,than,22.5667,71.1833,34.06,36,8,4.37,IN,1693381856
336,pisco,-13.7,-76.2167,15.03,88,6,1.03,PE,1693381857
337,box elder,41.5005,-112.8764,21.76,42,0,1.5,US,1693381857
338,ekibastuz,51.6667,75.3667,30.38,17,76,8.94,KZ,1693381858
339,grants pass,42.439,-123.3284,16.38,73,100,3.09,US,1693381582
340,erdenet,49.0333,104.0833,23.42,61,18,2.49,MN,1693381859
341,saint-francois,46.4154,3.9054,13.15,82,0,0.51,FR,1693381859
342,puerto baquerizo moreno,-0.9,-89.6,23.6,84,100,4.98,EC,1693381860
343,estevan,49.1334,-102.9842,17.11,72,0,5.14,CA,1693381860
344,rikaze,29.25,88.8833,23.38,24,6,2.63,CN,1693381860
345,changji,44.0167,87.3167,28.44,39,0,3.0,CN,1693381861
346,suva,-18.1416,178.4415,23.71,83,75,4.12,FJ,1693381647
347,aykhal,66.0,111.5,21.81,62,99,9.56,RU,1693381862
348,pakxan,18.3778,103.6601,30.68,70,40,0.86,LA,1693381862
349,hinton,53.4001,-117.5857,15.51,81,96,1.66,CA,1693381863
350,shinas,24.7433,56.4658,31.14,71,62,5.02,OM,1693381864
351,coro,11.4045,-69.6734,26.72,84,100,5.47,VE,1693381864
352,yanam,16.7333,82.2167,36.05,41,34,1.75,IN,1693381625
353,carmo do rio claro,-20.9719,-46.1189,15.01,93,0,0.81,BR,1693381865
354,khuzdar,27.7384,66.6434,35.81,17,0,1.82,PK,1693381866
355,chibougamau,49.9168,-74.3659,8.79,100,100,3.09,CA,1693381866
356,tazacorte,28.629,-17.9293,23.54,82,75,5.14,ES,1693381867
357,bentiu,9.2333,29.8333,28.09,68,100,2.05,SS,1693381867
358,marang,5.2056,103.2059,31.95,72,100,4.82,MY,1693381868
359,al jawf,29.5,38.75,31.98,23,0,4.58,SA,1693381868
360,clodomira,-27.5744,-64.1311,13.89,51,2,3.79,AR,1693381869
361,metkovic,43.0542,17.6483,22.26,63,12,3.31,HR,1693381869
362,rabo de peixe,37.8,-25.5833,20.73,83,20,2.06,PT,1693381870
363,kuala tungkal,-0.8167,103.4667,28.55,73,88,3.54,ID,1693381871
364,realico,-35.0366,-64.2447,12.87,38,46,7.14,AR,1693381871
365,ouesso,1.6136,16.0517,26.51,61,94,1.5,CG,1693381860
366,egilsstadir,65.2653,-14.3948,5.95,87,0,1.03,IS,1693381872
367,boryeong,36.3493,126.5977,21.98,85,100,1.44,KR,1693381872
368,agdas,40.65,47.4761,25.81,60,100,4.43,AZ,1693381873
369,tommot,58.9564,126.2925,25.37,51,4,0.45,RU,1693381873
370,kandahar,31.0,65.75,36.67,5,0,2.8,AF,1693381874
371,kapuskasing,49.4169,-82.4331,0.05,100,0,2.06,CA,1693381874
372,alagoinhas,-12.1356,-38.4192,21.93,96,95,1.64,BR,1693381875
373,xilin hot,43.9667,116.0333,18.99,51,95,3.53,CN,1693381875
374,puerto armuelles,8.2833,-82.8667,23.31,90,98,1.52,PA,1693381582
375,portage la prairie,49.9728,-98.2926,11.73,75,0,2.78,CA,1693381876
376,pariaman,-0.619,100.12,30.03,83,100,1.76,ID,1693381820
377,hrebinka,50.1171,32.4361,30.13,35,7,4.29,UA,1693381877
378,kristiansund,63.1115,7.732,13.36,88,75,0.51,NO,1693381877
379,kill devil hills,36.0307,-75.676,26.1,87,0,0.0,US,1693381878
380,selfoss,63.9331,-20.9971,10.02,85,100,2.86,IS,1693381878
381,maindargi,17.4667,76.3,34.93,31,51,2.81,IN,1693381879
382,daru,-9.0763,143.2092,24.18,69,88,4.94,PG,1693381880
383,daokou,35.5639,114.5058,28.25,60,28,1.07,CN,1693381880
384,aixe-sur-vienne,45.7986,1.1388,14.24,88,100,1.03,FR,1693381880
385,bel ombre,-4.6167,55.4167,28.91,65,20,7.2,SC,1693381881
386,bengkulu,-3.8004,102.2655,27.55,75,81,4.58,ID,1693381602
387,anloga,5.7947,0.8973,25.85,85,100,5.88,GH,1693381882
388,sirte,31.2089,16.5887,27.86,56,13,3.05,LY,1693381882
389,ha'il,27.5219,41.6907,32.01,25,0,4.12,SA,1693381883
390,preobrazheniye,42.9019,133.9064,20.07,99,100,1.21,RU,1693381883
391,motueka,-41.1333,173.0167,6.89,95,15,2.01,NZ,1693381884
392,fang,19.9169,99.2145,26.7,94,84,1.36,TH,1693381869
393,kudahuvadhoo,2.6708,72.8944,27.78,72,100,3.52,MV,1693381622
394,znamenskoye,57.1281,73.8282,23.05,47,95,6.51,RU,1693381885
395,siavonga,-16.5382,28.7088,22.93,38,0,1.45,ZM,1693381873
396,tumut,-35.3,148.2167,9.8,94,49,0.87,AU,1693381886
397,eraan,9.0629,117.7016,30.39,64,83,6.05,PH,1693381886
398,fortaleza,-3.7227,-38.5247,26.07,83,75,6.17,BR,1693381887
399,goias,-15.5807,-49.6362,22.34,81,81,0.74,BR,1693381887
400,vorgashor,67.5833,63.95,11.08,66,100,0.96,RU,1693381887
401,gamba,-2.65,10.0,23.83,84,100,2.46,GA,1693381888
402,fiambala,-27.6871,-67.6149,13.38,18,7,3.34,AR,1693381888
403,hakui,36.8833,136.7833,32.36,75,100,0.99,JP,1693381800
404,novodvinsk,64.4165,40.8122,17.68,61,66,3.16,RU,1693381889
405,atamyrat,37.8357,65.2106,37.19,13,77,8.45,TM,1693381869
406,jacupiranga,-24.6925,-48.0022,13.34,98,44,0.88,BR,1693381890
407,murudeshwara,14.0943,74.4845,28.77,71,21,3.92,IN,1693381775
408,gillette,44.2911,-105.5022,20.51,43,0,7.72,US,1693381891
409,bahia blanca,-38.7196,-62.2724,15.46,35,100,5.36,AR,1693381891
410,kismayo,-0.3582,42.5454,27.2,67,9,7.58,SO,1693381892
411,kailua-kona,19.6406,-155.9956,25.98,84,75,2.06,US,1693381892
412,beloyarskiy,63.7119,66.6722,13.3,86,100,4.17,RU,1693381893
413,ghat,24.9647,10.1728,33.49,20,34,1.81,LY,1693381893
414,thinadhoo,0.5333,72.9333,28.26,70,100,3.47,MV,1693381894
415,zheshart,62.0731,49.5733,16.92,53,78,1.6,RU,1693381895
416,lyubinskiy,55.1542,72.6925,20.82,31,100,6.95,RU,1693381896
417,dryden,49.7833,-92.7503,10.16,93,0,2.06,CA,1693381896
